"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.499152300E-2,-2.344966233E-1,2.775674164E-1,9.600004196E0
1.711673100E-2,-3.349951804E-1,2.632105052E-1,9.585647583E0
1.924194000E-2,-3.397808075E-1,3.780659735E-1,9.958928108E0
2.136714800E-2,-4.546363056E-1,2.057827413E-1,1.037527943E1
2.349235600E-2,-5.934200287E-1,-4.785645381E-2,1.040399265E1
2.561756500E-2,-2.249253243E-1,-1.339980662E-1,1.018863869E1
2.774277300E-2,3.349951655E-2,-3.541377485E-1,9.911071777E0
2.986798100E-2,-1.722832322E-1,-7.657032460E-2,9.442078590E0
3.199319000E-2,-1.914258152E-1,5.934200287E-1,9.111868858E0
3.411834600E-2,-3.445664644E-1,7.513462901E-1,9.308079720E0
3.624355400E-2,-3.780659735E-1,5.742774606E-1,9.623932838E0
3.836876300E-2,-1.722832322E-1,6.795616150E-1,9.686145782E0
4.049397100E-2,-1.435693540E-2,6.412764788E-1,9.997213364E0
4.261917900E-2,8.135596663E-2,5.072783828E-1,1.022692394E1
4.474438800E-2,-8.614161611E-2,3.589234054E-1,1.016949654E1
4.686959600E-2,-5.599204898E-1,3.397808075E-1,1.016949654E1
4.899480400E-2,-6.317051649E-1,3.493520916E-1,1.026520920E1
5.112001300E-2,-3.732803464E-1,5.742774159E-2,1.025085258E1
5.324522100E-2,-4.785645287E-3,-1.579262912E-1,9.930213928E0
5.537042900E-2,3.110669553E-1,-1.531406492E-1,9.705288887E0
5.749563800E-2,2.488535494E-1,-1.244267747E-1,9.628718376E0
5.962084600E-2,1.914258152E-1,4.259224236E-1,9.442078590E0
6.174605400E-2,4.307080805E-2,9.236295223E-1,9.432506561E0
6.387126300E-2,-1.483550072E-1,8.231309652E-1,9.719645500E0
6.599647100E-2,1.914258115E-2,6.508477330E-1,9.824930191E0
6.812167900E-2,4.211367965E-1,6.891329288E-1,9.805787086E0
7.024688800E-2,4.642075896E-1,6.317051649E-1,9.896714211E0
7.237209600E-2,1.962114573E-1,5.694918036E-1,1.004506969E1
7.449730400E-2,-2.632105052E-1,4.689932466E-1,1.013599682E1
7.662251300E-2,-4.498506486E-1,4.354937077E-1,1.016471100E1
7.874772100E-2,-2.536391914E-1,2.823530734E-1,1.023170948E1
8.087292900E-2,-8.614161611E-2,-1.914258115E-2,1.031785107E1
