"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.519954400E-2,2.748891478E-3,3.207040019E-3,-6.719512399E-3
2.732475200E-2,-9.162971983E-4,1.786779426E-2,-5.497782957E-3
2.944996100E-2,3.970621154E-3,2.397644334E-2,-3.054323839E-3
3.157516900E-2,5.192350596E-3,1.664606482E-2,6.108647794E-4
3.370032500E-2,5.192350596E-3,-1.756236330E-2,-1.832594397E-3
3.582553300E-2,1.130099874E-2,-4.810560122E-2,-3.054323839E-3
3.795074200E-2,1.130099874E-2,-5.177079141E-2,-4.276053514E-3
4.007595000E-2,5.192350596E-3,-4.199695215E-2,-3.054323839E-3
4.220115800E-2,-9.162971983E-4,-2.855792828E-2,-5.497782957E-3
4.432636700E-2,1.527161920E-3,-1.023198478E-2,-3.054323839E-3
4.645157500E-2,-2.138026757E-3,-1.679878100E-3,-3.054323839E-3
4.857678300E-2,-4.581485875E-3,-2.901607659E-3,-4.276053514E-3
5.070199200E-2,-4.581485875E-3,-4.123337101E-3,-7.941242307E-3
5.282720000E-2,-2.138026757E-3,1.053741761E-2,-9.162971750E-3
5.495240800E-2,-3.359756200E-3,2.397644334E-2,-5.497782957E-3
5.707761700E-2,-3.359756200E-3,1.664606482E-2,-5.497782957E-3
5.920282500E-2,3.054323897E-4,3.207040019E-3,-1.832594397E-3
6.132803300E-2,3.054323897E-4,-5.345067009E-3,-6.108647794E-4
6.345324200E-2,-9.162971983E-4,-1.267544460E-2,-3.054323839E-3
6.557845000E-2,3.054323897E-4,-1.878409274E-2,-4.276053514E-3
6.770365800E-2,-2.138026757E-3,-1.878409274E-2,-1.832594397E-3
6.982886700E-2,-5.803215317E-3,-1.145371422E-2,-6.108647794E-4
7.195407500E-2,-8.246674202E-3,-2.901607659E-3,-1.832594397E-3
7.407928300E-2,-5.803215317E-3,-6.566796452E-3,-6.108647794E-4
7.620449200E-2,-5.803215317E-3,-7.788525894E-3,-1.832594397E-3
7.832970000E-2,-4.581485875E-3,-1.023198478E-2,-4.276053514E-3
8.045490800E-2,-4.581485875E-3,-1.023198478E-2,-5.497782957E-3
8.258011700E-2,-2.138026757E-3,1.985310577E-3,-1.832594397E-3
8.470532500E-2,-2.138026757E-3,1.053741761E-2,-1.832594397E-3
