"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.398410832E0,2.917987119E1,-8.106194666E1,-5.770403917E0,0.000000000E0,NaN,9.098384857E0,1.104833221E1
2.491959895E0,2.917987119E1,-8.106194666E1,-5.770403917E0,0.000000000E0,NaN,9.098384857E0,1.104833221E1
3.491723957E0,2.917986804E1,-8.106194783E1,-6.411427243E0,0.000000000E0,NaN,4.478560448E0,5.763719082E0
4.491682342E0,2.917983311E1,-8.106195589E1,-4.883121423E0,2.529999971E0,1.576999969E2,3.790092468E0,4.409479618E0
5.491793851E0,2.917981835E1,-8.106196096E1,-3.676555155E0,1.960000038E0,1.571000061E2,3.790092468E0,4.257111073E0
6.491818643E0,2.917980111E1,-8.106193812E1,-3.068054681E0,2.420000076E0,1.566999969E2,3.790092468E0,3.366998911E0
7.491762549E0,2.917977689E1,-8.106193950E1,-3.186073437E0,2.710000038E0,1.570000000E2,3.790092468E0,2.623849869E0
8.491835517E0,2.917975238E1,-8.106192237E1,-2.891604510E0,3.079999924E0,1.560000000E2,3.790092468E0,2.500000000E0
9.491782966E0,2.917972061E1,-8.106190727E1,-3.307527012E0,3.609999895E0,1.588000031E2,3.790092468E0,2.500000000E0
1.049182729E1,2.917968702E1,-8.106189238E1,-3.608032650E0,4.010000229E0,1.578000031E2,3.790092468E0,2.500000000E0
1.149209500E1,2.917965324E1,-8.106187579E1,-3.564176869E0,4.099999905E0,1.558999939E2,3.790092468E0,2.500000000E0
1.249229333E1,2.917961354E1,-8.106185273E1,-3.620477081E0,5.090000153E0,1.548999939E2,3.790092468E0,2.500000000E0
1.349139526E1,2.917956748E1,-8.106182653E1,-4.028369919E0,5.420000076E0,1.546999969E2,3.790092468E0,2.500000000E0
1.449228869E1,2.917952017E1,-8.106179923E1,-4.328840487E0,5.530000210E0,1.516000061E2,3.790092468E0,2.500000000E0
1.549221416E1,2.917947489E1,-8.106176764E1,-4.101597738E0,5.820000172E0,1.476999969E2,3.790092468E0,2.500000000E0
1.649223098E1,2.917942780E1,-8.106173097E1,-4.264549877E0,5.920000076E0,1.436000061E2,3.790092468E0,2.500000000E0
1.749234109E1,2.917938929E1,-8.106168893E1,-4.464941295E0,5.889999866E0,1.400000000E2,3.790092468E0,2.500000000E0
1.849142952E1,2.917935279E1,-8.106164038E1,-4.798201437E0,6.079999924E0,1.268000031E2,3.790092468E0,2.500000000E0
1.949172421E1,2.917932885E1,-8.106158647E1,-4.137954993E0,5.880000114E0,1.161999969E2,3.790092468E0,2.500000000E0
2.049199697E1,2.917930796E1,-8.106152644E1,-3.668957382E0,6.000000000E0,1.071999969E2,3.790092468E0,2.500000000E0
2.149228020E1,2.917929524E1,-8.106146947E1,-4.023110270E0,5.710000038E0,1.013000031E2,3.790092468E0,2.500000000E0
2.249156286E1,2.917929037E1,-8.106139469E1,-3.491324085E0,6.559999943E0,9.269999695E1,3.790092468E0,2.500000000E0
2.349151124E1,2.917929194E1,-8.106131625E1,-3.161071884E0,7.539999962E0,8.619999695E1,3.790092468E0,2.500000000E0
2.449185577E1,2.917930345E1,-8.106122092E1,-3.036860648E0,8.920000076E0,7.780000305E1,3.790092468E0,2.500000000E0
2.549211395E1,2.917933141E1,-8.106111486E1,-3.031992276E0,1.040999985E1,6.940000153E1,3.790092468E0,2.500000000E0
2.649138082E1,2.917937410E1,-8.106100037E1,-2.861983872E0,1.194999981E1,6.490000153E1,3.790092468E0,2.500000000E0
2.749210775E1,2.917942706E1,-8.106087126E1,-2.382575947E0,1.365999985E1,6.400000000E1,3.790092468E0,2.500000000E0
2.849230051E1,2.917948798E1,-8.106072871E1,-2.500752306E0,1.523999977E1,6.350000000E1,3.790092468E0,2.500000000E0
2.949146952E1,2.917955559E1,-8.106057210E1,-2.370992858E0,1.673999977E1,6.419999695E1,3.790092468E0,2.500000000E0
3.049157489E1,2.917962371E1,-8.106040064E1,-2.315106570E0,1.820000076E1,6.480000305E1,3.790092468E0,2.500000000E0
3.149175301E1,2.917969863E1,-8.106021647E1,-2.208978207E0,1.959000015E1,6.419999695E1,3.790092468E0,2.500000000E0
3.249180358E1,2.917978058E1,-8.106002094E1,-2.489650833E0,2.098999977E1,6.430000305E1,3.790092468E0,2.500000000E0
3.349192895E1,2.917986702E1,-8.105981279E1,-2.256031759E0,2.236000061E1,6.530000305E1,3.790092468E0,2.500000000E0
3.449222124E1,2.917995545E1,-8.105958864E1,-2.143312292E0,2.351000023E1,6.480000305E1,3.790092468E0,2.500000000E0
3.549149947E1,2.918004960E1,-8.105935900E1,-2.486978100E0,2.460000038E1,6.430000305E1,3.790092468E0,2.500000000E0
3.649182144E1,2.918015178E1,-8.105912154E1,-2.424356146E0,2.562000084E1,6.450000000E1,3.790092468E0,2.500000000E0
3.749212993E1,2.918026020E1,-8.105887641E1,-2.100374981E0,2.642000008E1,6.379999924E1,3.790092468E0,2.500000000E0
3.849217806E1,2.918036385E1,-8.105862248E1,-1.100363900E0,2.737999916E1,6.350000000E1,3.790092468E0,2.500000000E0
3.949148071E1,2.918046455E1,-8.105836225E1,3.543929703E-1,2.787999916E1,6.359999847E1,3.790092468E0,2.500000000E0
4.049165738E1,2.918057269E1,-8.105810307E1,1.370308320E0,2.801000023E1,6.440000153E1,3.790092468E0,2.500000000E0
4.149184780E1,2.918068759E1,-8.105782687E1,2.034124808E0,2.906999969E1,6.580000305E1,3.790092468E0,2.500000000E0
4.249225462E1,2.918081117E1,-8.105756396E1,3.734525400E0,2.903000069E1,6.650000000E1,3.790092468E0,2.500000000E0
4.349149004E1,2.918091676E1,-8.105728644E1,7.147028035E0,2.944000053E1,6.630000305E1,3.790092468E0,2.500000000E0
4.449168363E1,2.918103103E1,-8.105700920E1,9.807610144E0,2.948999977E1,6.530000305E1,3.790092468E0,2.500000000E0
4.549189045E1,2.918113965E1,-8.105672905E1,1.440401421E1,2.979000092E1,6.569999695E1,3.790092468E0,2.500000000E0
4.649200738E1,2.918125150E1,-8.105644999E1,1.805177947E1,2.976000023E1,6.580000305E1,3.790092468E0,2.500000000E0
4.749209878E1,2.918136151E1,-8.105616308E1,2.120540878E1,2.990999985E1,6.609999847E1,3.790092468E0,2.500000000E0
4.849227514E1,2.918147715E1,-8.105587759E1,2.321929863E1,3.029000092E1,6.590000153E1,3.790092468E0,2.500000000E0
4.949143410E1,2.918159396E1,-8.105558841E1,2.433890409E1,3.078000069E1,6.600000000E1,3.790092468E0,2.500000000E0
5.049155858E1,2.918171575E1,-8.105530045E1,2.639607107E1,3.112999916E1,6.550000000E1,3.790092468E0,2.500000000E0
5.149209165E1,2.918184036E1,-8.105500504E1,2.734499783E1,3.178000069E1,6.509999847E1,3.790092468E0,2.500000000E0
5.249209420E1,2.918196145E1,-8.105471325E1,2.839881018E1,3.154000092E1,6.490000153E1,3.790092468E0,2.500000000E0
5.349209592E1,2.918207286E1,-8.105442206E1,2.910331540E1,3.130999947E1,6.480000305E1,3.790092468E0,2.500000000E0
5.449225128E1,2.918218696E1,-8.105412384E1,3.428658570E1,3.180999947E1,6.509999847E1,3.790092468E0,2.500000000E0
5.549152690E1,2.918230234E1,-8.105382928E1,3.751389078E1,3.188999939E1,6.509999847E1,3.790092468E0,2.500000000E0
