"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.469485200E-2,-6.412764788E-1,1.038485050E0,9.781859398E0
1.681808100E-2,-4.737788737E-1,6.460621357E-1,9.695717812E0
1.894323700E-2,-6.221338734E-2,1.067198873E0,9.571290970E0
2.106834100E-2,-4.785645287E-3,9.571290612E-1,9.839286804E0
2.319344500E-2,3.349951804E-1,9.044869542E-1,1.038485050E1
2.531854900E-2,3.014956415E-1,5.024927258E-1,1.036092186E1
2.744365400E-2,5.264209956E-2,5.886343718E-1,1.032263660E1
2.956875800E-2,3.158525825E-1,1.100698471E0,1.026520920E1
3.169391400E-2,1.052841991E-1,1.076770186E0,9.891928673E0
3.381901800E-2,-1.722832322E-1,9.379864931E-1,9.585647583E0
3.594412200E-2,-5.264209956E-2,1.014556766E0,9.657432556E0
3.806922700E-2,-2.297109663E-1,1.244267821E0,1.005464077E1
4.019433100E-2,-2.871387303E-1,1.043270707E0,1.025085258E1
4.231943500E-2,4.211367965E-1,6.987041831E-1,1.042313576E1
4.444453900E-2,8.566305041E-1,1.579262912E-1,1.060977554E1
4.656969500E-2,5.982056856E-1,3.876372576E-1,1.055713367E1
4.869479900E-2,1.435693651E-1,1.014556766E0,1.030349445E1
5.081990400E-2,-2.488535494E-1,1.134197950E0,9.911071777E0
5.294500800E-2,-5.024927258E-1,9.571290612E-1,9.480362892E0
5.507011200E-2,-2.632105052E-1,8.566305041E-1,9.437292099E0
5.719521600E-2,-1.579262912E-1,1.028913736E0,9.652647018E0
5.932037200E-2,1.914258115E-2,1.196411371E0,9.968499184E0
6.144547700E-2,2.775674164E-1,8.183453679E-1,1.048056316E1
6.357058100E-2,3.302095234E-1,6.652047038E-1,1.085862923E1
6.569568500E-2,2.105683982E-1,8.279166222E-1,1.078684425E1
6.782078900E-2,3.062812984E-1,1.028913736E0,1.034177971E1
6.994589300E-2,1.339980662E-1,1.287338614E0,9.757930756E0
7.207104900E-2,-1.674975902E-1,1.067198873E0,9.274580956E0
7.419615400E-2,-4.785645306E-1,1.134197950E0,9.446864128E0
7.632125800E-2,-3.302095234E-1,1.320838094E0,9.734002113E0
7.844636200E-2,-1.674975902E-1,1.062413216E0,9.896714211E0
8.057146600E-2,5.742774606E-1,7.082754970E-1,1.003549862E1
8.269657000E-2,6.173482537E-1,3.828516304E-1,1.002592659E1
8.482167400E-2,3.493520916E-1,1.770688742E-1,1.000199890E1
8.694683100E-2,-1.196411327E-1,1.105484009E0,1.000678444E1
8.907193500E-2,-4.019941986E-1,1.756331801E0,9.863214493E0
9.119703900E-2,-5.359922647E-1,1.110269666E0,9.724431038E0
9.332214300E-2,-1.818545163E-1,1.033699393E0,9.475577354E0
9.544724700E-2,-1.244267747E-1,1.450050473E0,9.595218658E0
9.757235200E-2,-1.292124242E-1,1.272981644E0,1.002114105E1
9.969750800E-2,9.092725813E-2,8.805587292E-1,1.040877819E1
1.018226120E-1,-5.264209956E-2,5.168496966E-1,1.060020447E1
1.039477160E-1,-1.052841991E-1,6.652047038E-1,1.083470058E1
1.060728200E-1,-9.571290761E-2,1.167697430E0,9.676574707E0
1.081979240E-1,-3.062812984E-1,1.239482164E0,9.466006279E0
1.103230290E-1,-3.158525825E-1,1.076770186E0,9.829715729E0
1.124481850E-1,-3.972085714E-1,1.277767301E0,9.801001549E0
1.145732890E-1,-3.684946895E-1,1.435693622E0,9.805787086E0
1.166983930E-1,6.221338734E-2,1.105484009E0,9.863214493E0
1.188234970E-1,5.216353536E-1,8.087740541E-1,9.915857315E0
1.209486020E-1,6.699903607E-1,5.694918036E-1,1.005942631E1
1.230737060E-1,3.206382394E-1,9.906286001E-1,1.040877819E1
1.251988100E-1,-2.105683982E-1,1.392622828E0,1.016949654E1
1.273239660E-1,-6.412764788E-1,1.368694544E0,9.370293617E0
1.294490700E-1,-4.642075896E-1,1.450050473E0,9.164510727E0
1.315741740E-1,-2.632105052E-1,1.426122308E0,9.260223389E0
1.336992790E-1,-2.727817893E-1,1.689332843E0,9.475577354E0
1.358243830E-1,-1.674975902E-1,1.220339537E0,9.901499748E0
1.379494870E-1,-1.004985496E-1,9.619147182E-1,1.037527943E1
1.400745910E-1,9.571290575E-3,8.422735929E-1,1.031785107E1
1.421997470E-1,2.201396823E-1,5.694918036E-1,9.872786522E0
1.443248520E-1,4.307080805E-2,9.236295223E-1,9.710074425E0
1.464499560E-1,-1.962114573E-1,1.325623751E0,9.332008362E0
1.485750600E-1,-2.201396823E-1,1.186840057E0,8.997013092E0
1.507001640E-1,-3.062812984E-1,1.354337573E0,9.231510162E0
1.528252680E-1,-2.105683982E-1,1.540977836E0,9.528220177E0
1.549504240E-1,5.312066078E-1,8.949156404E-1,9.719645500E0
1.570755290E-1,1.014556766E0,5.838487148E-1,1.004985523E1
1.592006330E-1,8.949156404E-1,5.359922647E-1,1.004985523E1
1.613257370E-1,1.196411327E-1,8.039883971E-1,9.973284721E0
1.634508410E-1,-2.919243574E-1,1.349551916E0,9.887143135E0
1.655759450E-1,-5.838487148E-1,1.311266780E0,9.566504478E0
1.677011020E-1,-2.919243574E-1,9.762716293E-1,9.269794464E0
1.698262060E-1,-2.057827413E-1,1.143769264E0,9.265008926E0
1.719513100E-1,-3.780659735E-1,1.598405480E0,9.327222824E0
1.740764140E-1,-1.244267747E-1,1.316052437E0,9.418149948E0
1.762015180E-1,1.196411327E-1,6.460621357E-1,9.633503914E0
1.783266220E-1,9.092725813E-2,6.317051649E-1,9.623932838E0
1.804517790E-1,1.914258152E-1,1.249053478E0,9.734002113E0
1.825768830E-1,5.264209956E-2,1.220339537E0,9.743574142E0
1.847019870E-1,-2.009970993E-1,1.100698471E0,9.714859962E0
1.868270910E-1,-4.689932466E-1,1.182054400E0,9.533005714E0
1.889521950E-1,-3.637090325E-1,1.473978758E0,9.796216011E0
1.910772990E-1,-8.135596663E-2,1.392622828E0,1.016471100E1
1.932024040E-1,8.087740541E-1,8.997012973E-1,1.026520920E1
1.953275600E-1,8.997012973E-1,3.158525825E-1,1.030827999E1
1.974526640E-1,5.168496966E-1,6.125625968E-1,1.048056316E1
1.995777680E-1,9.571290575E-3,1.229910851E0,1.043749237E1
2.017028720E-1,-4.977070987E-1,1.378265858E0,9.877572060E0
