"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.065032000E-2,5.345067009E-3,-1.649334840E-2,1.374445739E-3
2.277542400E-2,9.010255337E-3,-1.527161989E-2,2.596175298E-3
2.490052900E-2,1.389717404E-2,-1.282816008E-2,2.596175298E-3
2.702563300E-2,9.010255337E-3,3.054323839E-3,7.483093534E-3
2.915073700E-2,1.679878100E-3,1.038470119E-2,5.039634649E-3
3.127589300E-2,4.581485991E-4,1.282816008E-2,5.039634649E-3
3.340099700E-2,-3.207040019E-3,1.893680729E-2,7.483093534E-3
3.552610200E-2,-3.207040019E-3,1.649334840E-2,5.039634649E-3
3.765120600E-2,5.345067009E-3,7.941242307E-3,5.039634649E-3
3.977631000E-2,1.389717404E-2,1.832594397E-3,3.817904973E-3
4.190141400E-2,1.389717404E-2,-1.832594397E-3,1.374445739E-3
4.402651800E-2,5.345067009E-3,5.497782957E-3,-1.069013379E-3
4.615167400E-2,4.581485991E-4,1.649334840E-2,3.817904973E-3
4.827677900E-2,5.345067009E-3,2.138026804E-2,5.039634649E-3
5.040188300E-2,2.901607659E-3,1.527161989E-2,3.817904973E-3
5.252698700E-2,-6.872228812E-3,1.527161989E-2,6.261364091E-3
5.465209100E-2,-1.420260593E-2,2.015853859E-2,5.039634649E-3
5.677719500E-2,-1.053741761E-2,1.282816008E-2,5.039634649E-3
5.890235200E-2,2.901607659E-3,4.276053514E-3,6.261364091E-3
6.102745600E-2,1.389717404E-2,-5.497782957E-3,5.039634649E-3
6.315256000E-2,1.145371422E-2,-1.832594397E-3,5.039634649E-3
6.527766400E-2,5.345067009E-3,1.160643063E-2,6.261364091E-3
6.740276800E-2,-3.207040019E-3,2.260199748E-2,7.483093534E-3
6.952787200E-2,-1.053741761E-2,2.504545636E-2,9.926552884E-3
7.165302900E-2,-1.420260593E-2,2.626718581E-2,8.704823442E-3
7.377813300E-2,-8.093958721E-3,2.260199748E-2,8.704823442E-3
7.590323700E-2,7.788525894E-3,1.038470119E-2,7.483093534E-3
7.802834100E-2,1.756236330E-2,1.832594397E-3,5.039634649E-3
8.015344500E-2,1.389717404E-2,4.276053514E-3,5.039634649E-3
8.227854900E-2,6.566796452E-3,9.162971750E-3,2.596175298E-3
8.440365400E-2,1.679878100E-3,1.771507785E-2,7.483093534E-3
8.652881000E-2,4.123337101E-3,1.771507785E-2,9.926552884E-3
8.865391400E-2,7.788525894E-3,7.941242307E-3,9.926552884E-3
9.077901800E-2,1.679878100E-3,6.108647794E-4,7.483093534E-3
9.290412200E-2,-6.872228812E-3,7.941242307E-3,7.483093534E-3
9.502922700E-2,-9.315688163E-3,1.282816008E-2,8.704823442E-3
9.715433100E-2,2.901607659E-3,6.108647794E-4,8.704823442E-3
9.927948700E-2,1.511890348E-2,-9.162971750E-3,5.039634649E-3
1.014045910E-1,1.756236330E-2,1.832594397E-3,6.261364091E-3
1.035296950E-1,2.000582218E-2,2.626718581E-2,1.359174121E-2
1.056547990E-1,4.444041103E-2,3.970621154E-2,1.725693047E-2
1.077799040E-1,5.177079141E-2,1.527161989E-2,1.237001177E-2
1.099050080E-1,3.344484791E-2,1.832594397E-3,1.114828233E-2
1.120301640E-1,1.023198478E-2,9.162971750E-3,8.704823442E-3
1.141552680E-1,-1.985310577E-3,5.497782957E-3,6.261364091E-3
1.162803720E-1,4.581485991E-4,-6.108647794E-4,1.527161949E-4
1.184054770E-1,6.566796452E-3,-4.276053514E-3,1.374445739E-3
1.205305810E-1,9.010255337E-3,-5.497782957E-3,2.596175298E-3
1.226556850E-1,7.788525894E-3,-6.108647794E-4,2.596175298E-3
1.247807890E-1,7.788525894E-3,-6.108647794E-4,2.596175298E-3
1.269059450E-1,-1.985310577E-3,4.276053514E-3,5.039634649E-3
1.290310490E-1,-1.786779426E-2,6.719512399E-3,2.596175298E-3
1.311561540E-1,-1.542433538E-2,-4.276053514E-3,2.596175298E-3
1.332812580E-1,-1.985310577E-3,-1.404988952E-2,3.817904973E-3
1.354063620E-1,1.145371422E-2,-2.504545636E-2,3.817904973E-3
1.375314660E-1,1.389717404E-2,-2.748891525E-2,1.374445739E-3
1.396565700E-1,6.566796452E-3,-2.015853859E-2,3.817904973E-3
1.417817270E-1,-5.650499370E-3,-5.497782957E-3,2.596175298E-3
1.439068310E-1,-1.175914705E-2,3.054323839E-3,5.039634649E-3
1.460319350E-1,-5.650499370E-3,-1.832594397E-3,7.483093534E-3
1.481570390E-1,-1.985310577E-3,-9.162971750E-3,5.039634649E-3
1.502821430E-1,-7.635809598E-4,-1.282816008E-2,3.817904973E-3
1.524072470E-1,4.123337101E-3,-1.771507785E-2,3.817904973E-3
1.545324040E-1,1.267544460E-2,-2.504545636E-2,-1.069013379E-3
1.566575080E-1,1.145371422E-2,-2.260199748E-2,-1.069013379E-3
1.587826120E-1,1.023198478E-2,-1.527161989E-2,3.817904973E-3
1.609077160E-1,6.566796452E-3,-6.719512399E-3,7.483093534E-3
1.630328200E-1,4.123337101E-3,-1.038470119E-2,6.261364091E-3
1.651579240E-1,-7.635809598E-4,-1.649334840E-2,2.596175298E-3
1.672830810E-1,-1.053741761E-2,-1.282816008E-2,3.817904973E-3
1.694081850E-1,-1.175914705E-2,-6.719512399E-3,2.596175298E-3
1.715332890E-1,-4.428769462E-3,-1.282816008E-2,6.261364091E-3
1.736583930E-1,9.010255337E-3,-2.748891525E-2,2.596175298E-3
1.757834970E-1,1.145371422E-2,-2.871064469E-2,1.527161949E-4
1.779086020E-1,6.566796452E-3,-1.771507785E-2,3.817904973E-3
1.800337580E-1,5.345067009E-3,-9.162971750E-3,5.039634649E-3
1.821588620E-1,1.145371422E-2,-1.527161989E-2,3.817904973E-3
1.842839660E-1,1.145371422E-2,-1.771507785E-2,6.261364091E-3
1.864090700E-1,2.901607659E-3,-1.404988952E-2,5.039634649E-3
1.885341740E-1,4.581485991E-4,-1.282816008E-2,3.817904973E-3
1.906592790E-1,7.788525894E-3,-2.015853859E-2,1.374445739E-3
1.927843830E-1,1.634063199E-2,-2.626718581E-2,-2.290742937E-3
1.949095390E-1,1.267544460E-2,-1.893680729E-2,-2.290742937E-3
1.970346430E-1,9.010255337E-3,-1.832594397E-3,1.374445739E-3
1.991597470E-1,1.267544460E-2,-4.276053514E-3,1.527161949E-4
2.012848520E-1,1.023198478E-2,-7.941242307E-3,1.374445739E-3
2.034099560E-1,-5.650499370E-3,3.054323839E-3,1.527161949E-4
2.055350600E-1,-1.420260593E-2,6.108647794E-4,-2.290742937E-3
2.076601640E-1,-3.207040019E-3,-7.941242307E-3,1.374445739E-3
2.097853200E-1,1.511890348E-2,-2.260199748E-2,1.527161949E-4
2.119104240E-1,2.122755162E-2,-2.871064469E-2,-1.069013379E-3
2.140355290E-1,1.389717404E-2,-2.382372692E-2,1.527161949E-4
2.161606330E-1,9.010255337E-3,-1.282816008E-2,-1.069013379E-3
2.182857370E-1,4.123337101E-3,-1.832594397E-3,1.527161949E-4
2.204108410E-1,4.581485991E-4,3.054323839E-3,2.596175298E-3
2.225359970E-1,-4.428769462E-3,1.160643063E-2,2.596175298E-3
2.246611020E-1,-7.635809598E-4,6.719512399E-3,2.596175298E-3
2.267862060E-1,1.389717404E-2,-5.497782957E-3,-1.069013379E-3
2.289113100E-1,2.122755162E-2,-9.162971750E-3,-2.290742937E-3
2.310364140E-1,1.756236330E-2,-4.276053514E-3,-4.734201822E-3
2.331615180E-1,1.267544460E-2,4.276053514E-3,-5.955931731E-3
2.352866740E-1,6.566796452E-3,1.282816008E-2,-1.069013379E-3
2.374117790E-1,4.123337101E-3,1.527161989E-2,1.374445739E-3
2.395368830E-1,5.345067009E-3,1.038470119E-2,1.527161949E-4
2.416619870E-1,9.010255337E-3,4.276053514E-3,1.527161949E-4
2.437870910E-1,9.010255337E-3,-6.108647794E-4,1.527161949E-4
2.459121950E-1,7.788525894E-3,1.832594397E-3,1.374445739E-3
2.480373520E-1,1.679878100E-3,5.497782957E-3,2.596175298E-3
2.501624560E-1,9.010255337E-3,-1.832594397E-3,-1.069013379E-3
2.522875600E-1,1.756236330E-2,-9.162971750E-3,-2.290742937E-3
2.544126640E-1,1.511890348E-2,1.832594397E-3,1.527161949E-4
2.565377680E-1,9.010255337E-3,1.527161989E-2,1.374445739E-3
2.586628720E-1,7.788525894E-3,1.527161989E-2,1.374445739E-3
2.607879770E-1,7.788525894E-3,1.282816008E-2,2.596175298E-3
2.629131330E-1,9.010255337E-3,1.282816008E-2,1.374445739E-3
2.650382370E-1,1.267544460E-2,1.160643063E-2,1.374445739E-3
2.671633410E-1,1.389717404E-2,6.108647794E-4,-3.512472380E-3
2.692884450E-1,1.511890348E-2,6.108647794E-4,-4.734201822E-3
2.714135490E-1,9.010255337E-3,1.038470119E-2,-1.069013379E-3
2.735386540E-1,7.788525894E-3,1.404988952E-2,1.527161949E-4
2.756637580E-1,6.566796452E-3,1.038470119E-2,-1.069013379E-3
2.777889140E-1,4.581485991E-4,1.160643063E-2,1.527161949E-4
2.799140180E-1,-1.053741761E-2,1.893680729E-2,1.374445739E-3
2.820391220E-1,-9.315688163E-3,1.038470119E-2,1.527161949E-4
2.841641740E-1,4.123337101E-3,-6.108647794E-4,1.374445739E-3
2.862893310E-1,1.756236330E-2,-1.282816008E-2,1.374445739E-3
2.884144350E-1,2.122755162E-2,-1.649334840E-2,1.374445739E-3
2.905395910E-1,1.267544460E-2,-1.038470119E-2,1.374445739E-3
2.926646950E-1,1.679878100E-3,3.054323839E-3,-1.069013379E-3
2.947897990E-1,-8.093958721E-3,1.527161989E-2,2.596175298E-3
2.969149040E-1,-1.298087649E-2,1.893680729E-2,5.039634649E-3
2.990400080E-1,-1.298087649E-2,7.941242307E-3,1.374445739E-3
3.011651120E-1,-1.985310577E-3,6.108647794E-4,2.596175298E-3
3.032902680E-1,1.145371422E-2,-7.941242307E-3,-1.069013379E-3
3.054153720E-1,1.389717404E-2,-1.282816008E-2,-2.290742937E-3
3.075404770E-1,1.145371422E-2,-1.404988952E-2,-1.069013379E-3
3.096655810E-1,6.566796452E-3,-4.276053514E-3,1.374445739E-3
3.117906850E-1,-3.207040019E-3,6.108647794E-4,2.596175298E-3
3.139157370E-1,-8.093958721E-3,-6.108647794E-4,2.596175298E-3
3.160408930E-1,-9.315688163E-3,-4.276053514E-3,1.374445739E-3
3.181660490E-1,-9.315688163E-3,-1.038470119E-2,1.527161949E-4
3.202911540E-1,-3.207040019E-3,-1.404988952E-2,1.374445739E-3
3.224162580E-1,2.901607659E-3,-1.771507785E-2,2.596175298E-3
3.245413620E-1,7.788525894E-3,-2.626718581E-2,1.527161949E-4
3.266664660E-1,7.788525894E-3,-2.260199748E-2,1.374445739E-3
3.287915700E-1,-7.635809598E-4,-1.038470119E-2,2.596175298E-3
3.309166740E-1,-6.872228812E-3,-1.832594397E-3,1.374445739E-3
3.330418310E-1,-1.985310577E-3,-1.160643063E-2,2.596175298E-3
3.351669350E-1,-4.428769462E-3,-9.162971750E-3,3.817904973E-3
3.372920390E-1,-1.175914705E-2,-6.719512399E-3,3.817904973E-3
3.394171430E-1,-8.093958721E-3,-1.282816008E-2,1.374445739E-3
3.415422470E-1,2.901607659E-3,-2.138026804E-2,-1.069013379E-3
3.436674040E-1,1.267544460E-2,-3.237583488E-2,-3.512472380E-3
3.457925080E-1,6.566796452E-3,-1.771507785E-2,1.374445739E-3
3.479176120E-1,-5.650499370E-3,-5.497782957E-3,1.374445739E-3
3.500427160E-1,-6.872228812E-3,-1.404988952E-2,1.527161949E-4
3.521678200E-1,-1.053741761E-2,-1.404988952E-2,1.374445739E-3
3.542929240E-1,-2.153298259E-2,-4.276053514E-3,1.374445739E-3
3.564180290E-1,-2.519817278E-2,-7.941242307E-3,2.596175298E-3
3.585431850E-1,-6.872228812E-3,-2.015853859E-2,2.596175298E-3
3.606682890E-1,7.788525894E-3,-2.748891525E-2,1.374445739E-3
3.627933930E-1,1.145371422E-2,-3.115410358E-2,2.596175298E-3
3.649184970E-1,1.679878100E-3,-2.382372692E-2,2.596175298E-3
3.670436020E-1,-8.093958721E-3,-1.527161989E-2,1.374445739E-3
3.691687060E-1,-1.298087649E-2,-9.162971750E-3,1.374445739E-3
3.712938620E-1,-1.542433538E-2,-6.108647794E-4,5.039634649E-3
3.734189660E-1,-1.908952370E-2,-3.054323839E-3,2.596175298E-3
3.755440700E-1,-9.315688163E-3,-1.038470119E-2,2.596175298E-3
3.776692270E-1,7.788525894E-3,-1.771507785E-2,2.596175298E-3
3.797942790E-1,1.267544460E-2,-2.138026804E-2,-1.069013379E-3
3.819193830E-1,1.023198478E-2,-2.015853859E-2,-2.290742937E-3
3.840445390E-1,9.010255337E-3,-1.404988952E-2,2.596175298E-3
3.861696430E-1,1.679878100E-3,-5.497782957E-3,1.374445739E-3
3.882947470E-1,-3.207040019E-3,-9.162971750E-3,5.039634649E-3
3.904198520E-1,-1.985310577E-3,-1.282816008E-2,1.374445739E-3
3.925449560E-1,-4.428769462E-3,-1.527161989E-2,2.596175298E-3
3.946700600E-1,-4.428769462E-3,-6.719512399E-3,6.261364091E-3
3.967951640E-1,4.581485991E-4,-1.038470119E-2,7.483093534E-3
3.989202680E-1,1.679878100E-3,-2.015853859E-2,1.374445739E-3
4.010454240E-1,2.901607659E-3,-1.649334840E-2,2.596175298E-3
4.031705290E-1,1.679878100E-3,-7.941242307E-3,5.039634649E-3
4.052956330E-1,1.679878100E-3,-6.719512399E-3,5.039634649E-3
4.074207370E-1,5.345067009E-3,-6.719512399E-3,3.817904973E-3
4.095458410E-1,4.123337101E-3,-6.108647794E-4,8.704823442E-3
4.116709450E-1,-7.635809598E-4,-4.276053514E-3,5.039634649E-3
4.137961020E-1,-3.207040019E-3,-4.276053514E-3,5.039634649E-3
4.159212060E-1,-7.635809598E-4,-3.054323839E-3,6.261364091E-3
4.180463100E-1,6.566796452E-3,-1.404988952E-2,1.527161949E-4
4.201714140E-1,1.145371422E-2,-1.649334840E-2,1.374445739E-3
4.222965180E-1,1.145371422E-2,-5.497782957E-3,3.817904973E-3
4.244215700E-1,6.566796452E-3,4.276053514E-3,3.817904973E-3
4.265467790E-1,-1.985310577E-3,6.719512399E-3,2.596175298E-3
4.286718830E-1,-9.315688163E-3,1.649334840E-2,2.596175298E-3
4.307969870E-1,-5.650499370E-3,1.282816008E-2,3.817904973E-3
4.329220910E-1,2.901607659E-3,4.276053514E-3,6.261364091E-3
4.350471950E-1,4.123337101E-3,-3.054323839E-3,2.596175298E-3
4.371722990E-1,1.145371422E-2,-1.282816008E-2,5.039634649E-3
4.392974040E-1,7.788525894E-3,-9.162971750E-3,3.817904973E-3
4.414225600E-1,-7.635809598E-4,-4.276053514E-3,2.596175298E-3
4.435476640E-1,4.581485991E-4,4.276053514E-3,3.817904973E-3
4.456727680E-1,4.581485991E-4,1.160643063E-2,8.704823442E-3
4.477978720E-1,-1.985310577E-3,9.162971750E-3,6.261364091E-3
4.499229770E-1,-3.207040019E-3,6.719512399E-3,6.261364091E-3
4.520480810E-1,4.123337101E-3,4.276053514E-3,6.261364091E-3
4.541732370E-1,1.267544460E-2,-6.719512399E-3,1.374445739E-3
4.562983410E-1,1.145371422E-2,-7.941242307E-3,2.596175298E-3
4.584234450E-1,4.123337101E-3,-1.832594397E-3,2.596175298E-3
4.605485490E-1,1.679878100E-3,3.054323839E-3,6.261364091E-3
4.626736540E-1,4.123337101E-3,6.108647794E-4,7.483093534E-3
4.647987580E-1,2.901607659E-3,-1.832594397E-3,5.039634649E-3
4.669238620E-1,-4.428769462E-3,1.832594397E-3,3.817904973E-3
4.690490180E-1,-8.093958721E-3,6.719512399E-3,5.039634649E-3
4.711741220E-1,-1.985310577E-3,6.108647794E-4,8.704823442E-3
4.732992270E-1,4.581485991E-4,-1.160643063E-2,3.817904973E-3
4.754243310E-1,6.566796452E-3,-1.649334840E-2,3.817904973E-3
4.775494350E-1,4.123337101E-3,-7.941242307E-3,7.483093534E-3
4.796745910E-1,-1.985310577E-3,6.108647794E-4,6.261364091E-3
4.817996950E-1,-7.635809598E-4,-3.054323839E-3,5.039634649E-3
4.839247990E-1,-1.985310577E-3,1.832594397E-3,8.704823442E-3
4.860499040E-1,-4.428769462E-3,1.832594397E-3,5.039634649E-3
4.881750080E-1,1.679878100E-3,-6.108647794E-4,7.483093534E-3
4.903001120E-1,4.123337101E-3,-6.108647794E-4,7.483093534E-3
4.924252680E-1,5.345067009E-3,-1.771507785E-2,1.527161949E-4
4.945503200E-1,4.581485991E-4,-6.719512399E-3,5.039634649E-3
4.966754770E-1,4.581485991E-4,-3.054323839E-3,2.596175298E-3
4.988005810E-1,4.123337101E-3,-6.108647794E-4,6.261364091E-3
5.009256850E-1,4.123337101E-3,-4.276053514E-3,6.261364091E-3
5.030507890E-1,-1.053741761E-2,1.160643063E-2,5.039634649E-3
5.051758930E-1,-2.031125315E-2,1.893680729E-2,3.817904973E-3
5.073009970E-1,-9.315688163E-3,9.162971750E-3,9.926552884E-3
5.094261540E-1,4.123337101E-3,-6.719512399E-3,7.483093534E-3
5.115512580E-1,1.145371422E-2,-2.260199748E-2,6.261364091E-3
5.136763620E-1,6.566796452E-3,-1.893680729E-2,7.483093534E-3
5.158014660E-1,4.581485991E-4,-7.941242307E-3,7.483093534E-3
5.179265700E-1,-3.207040019E-3,1.832594397E-3,8.704823442E-3
5.200516740E-1,-8.093958721E-3,-6.108647794E-4,9.926552884E-3
5.221768310E-1,-1.053741761E-2,4.276053514E-3,8.704823442E-3
5.243019350E-1,-1.985310577E-3,3.054323839E-3,9.926552884E-3
5.264270390E-1,6.566796452E-3,-5.497782957E-3,1.114828233E-2
5.285521430E-1,9.010255337E-3,-1.160643063E-2,7.483093534E-3
5.306772470E-1,5.345067009E-3,-1.038470119E-2,6.261364091E-3
5.328023520E-1,4.581485991E-4,-6.108647794E-4,8.704823442E-3
5.349275080E-1,-7.635809598E-4,-6.108647794E-4,8.704823442E-3
5.370526120E-1,4.581485991E-4,-1.282816008E-2,7.483093534E-3
5.391777160E-1,-4.428769462E-3,-5.497782957E-3,8.704823442E-3
5.413028200E-1,-1.542433538E-2,1.038470119E-2,7.483093534E-3
5.434279240E-1,-1.786779426E-2,7.941242307E-3,8.704823442E-3
5.455530290E-1,-6.872228812E-3,1.832594397E-3,1.237001177E-2
5.476781330E-1,-7.635809598E-4,-1.038470119E-2,8.704823442E-3
5.498032890E-1,-3.207040019E-3,-1.771507785E-2,7.483093534E-3
5.519283930E-1,-6.872228812E-3,-7.941242307E-3,7.483093534E-3
5.540534970E-1,-1.542433538E-2,1.160643063E-2,1.114828233E-2
5.561786020E-1,-1.542433538E-2,5.497782957E-3,5.039634649E-3
5.583037060E-1,-1.542433538E-2,9.162971750E-3,9.926552884E-3
5.604288100E-1,-1.298087649E-2,1.771507785E-2,1.237001177E-2
5.625539140E-1,-9.315688163E-3,1.038470119E-2,1.237001177E-2
5.646790700E-1,-1.175914705E-2,7.941242307E-3,9.926552884E-3
5.668041740E-1,-8.093958721E-3,-3.054323839E-3,6.261364091E-3
5.689292790E-1,-4.428769462E-3,-1.893680729E-2,3.817904973E-3
5.710543830E-1,-9.315688163E-3,-5.497782957E-3,5.039634649E-3
5.731794870E-1,-1.053741761E-2,1.832594397E-3,6.261364091E-3
5.753045910E-1,-9.315688163E-3,-1.832594397E-3,5.039634649E-3
5.774297470E-1,-1.786779426E-2,1.160643063E-2,6.261364091E-3
5.795548520E-1,-2.153298259E-2,2.138026804E-2,6.261364091E-3
5.816799560E-1,-1.664606482E-2,1.160643063E-2,9.926552884E-3
5.838050600E-1,-5.650499370E-3,-5.497782957E-3,8.704823442E-3
