"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.367059217E0,2.906098674E1,-8.128727349E1,-2.797065106E1,3.980000019E0,2.518000031E2,1.580431175E1,2.818100548E1
4.372424790E0,2.906093897E1,-8.128732454E1,-8.849118204E0,4.389999866E0,2.643999939E2,6.660764217E0,1.027699947E1
5.374088383E0,2.906090867E1,-8.128730019E1,1.036854050E1,5.000000000E0,2.563999939E2,4.136936665E0,4.349783897E0
6.373815674E0,2.906090319E1,-8.128738872E1,9.643075884E0,5.679999828E0,2.567000122E2,4.297369957E0,5.173553467E0
7.392904372E0,2.906090788E1,-8.128733869E1,1.147550874E1,6.250000000E0,2.571000061E2,3.895907640E0,4.442865849E0
7.755999267E0,2.906087872E1,-8.128744260E1,1.205962732E1,6.389999866E0,2.587000122E2,3.790092468E0,3.858022690E0
8.756785881E0,2.906086681E1,-8.128751430E1,1.110788434E1,6.570000172E0,2.657999878E2,3.790092468E0,2.819953442E0
9.756695153E0,2.906087079E1,-8.128758212E1,1.141441909E1,6.659999847E0,2.745000000E2,3.790092468E0,2.617037296E0
1.075644453E1,2.906087234E1,-8.128766180E1,1.078469627E1,6.599999905E0,2.907999878E2,3.790092468E0,2.515014648E0
1.175632885E1,2.906089883E1,-8.128771547E1,1.144122305E1,5.909999847E0,3.043999939E2,3.790092468E0,2.732154131E0
1.275622942E1,2.906092892E1,-8.128775876E1,1.253568521E1,5.710000038E0,3.157000122E2,3.790092468E0,2.500000000E0
1.375618984E1,2.906096891E1,-8.128778669E1,1.280585052E1,5.250000000E0,3.341000061E2,3.790092468E0,2.500000000E0
1.475624645E1,2.906101321E1,-8.128780829E1,1.399154877E1,5.210000038E0,3.425000000E2,3.790092468E0,2.500000000E0
1.575629234E1,2.906106320E1,-8.128781163E1,1.323616008E1,5.250000000E0,3.000000000E0,3.790092468E0,2.500000000E0
1.675621307E1,2.906110757E1,-8.128779879E1,1.286408145E1,5.210000038E0,1.610000038E1,3.790092468E0,2.500000000E0
1.775631223E1,2.906114640E1,-8.128777437E1,1.285876925E1,5.010000229E0,3.189999962E1,3.790092468E0,2.500000000E0
1.875660015E1,2.906117885E1,-8.128774197E1,1.215714095E1,4.960000038E0,4.379999924E1,3.790092468E0,2.500000000E0
1.975685494E1,2.906120976E1,-8.128770566E1,1.206534760E1,5.119999886E0,5.090000153E1,3.790092468E0,2.500000000E0
2.075607312E1,2.906124262E1,-8.128766472E1,1.193180994E1,5.210000038E0,5.159999847E1,3.790092468E0,2.500000000E0
2.175622364E1,2.906127825E1,-8.128761524E1,1.128384411E1,5.800000191E0,5.029999924E1,3.790092468E0,2.500000000E0
2.275634457E1,2.906132327E1,-8.128755626E1,1.088314099E1,7.210000038E0,5.020000076E1,3.790092468E0,2.500000000E0
2.375602343E1,2.906137250E1,-8.128748775E1,1.014293757E1,8.899999619E0,5.050000000E1,3.790092468E0,2.500000000E0
2.475635384E1,2.906143505E1,-8.128740132E1,9.786539418E0,1.076000023E1,4.959999847E1,3.790092468E0,2.500000000E0
2.575664317E1,2.906151310E1,-8.128730300E1,9.691170892E0,1.257999992E1,4.959999847E1,3.790092468E0,2.500000000E0
2.675698056E1,2.906159728E1,-8.128719184E1,9.487750198E0,1.434000015E1,4.900000000E1,3.790092468E0,2.500000000E0
2.775629686E1,2.906169763E1,-8.128706751E1,9.341716399E0,1.607999992E1,4.929999924E1,3.790092468E0,2.500000000E0
2.875662035E1,2.906180419E1,-8.128692614E1,9.032945805E0,1.781999969E1,4.959999847E1,3.790092468E0,2.500000000E0
2.975692369E1,2.906192467E1,-8.128677767E1,9.082735278E0,1.946999931E1,4.840000153E1,3.790092468E0,2.500000000E0
3.075608749E1,2.906205156E1,-8.128661768E1,8.875576502E0,2.104000092E1,4.909999847E1,3.790092468E0,2.500000000E0
3.175639384E1,2.906218883E1,-8.128644014E1,8.693365644E0,2.254999924E1,4.950000000E1,3.790092468E0,2.500000000E0
3.275664374E1,2.906233214E1,-8.128625559E1,8.573997063E0,2.401000023E1,4.890000153E1,3.790092468E0,2.500000000E0
3.375662686E1,2.906248758E1,-8.128606395E1,8.598161135E0,2.537999916E1,4.809999847E1,3.790092468E0,2.500000000E0
3.475677098E1,2.906264999E1,-8.128585981E1,8.460592632E0,2.662000084E1,4.950000000E1,3.790092468E0,2.500000000E0
3.575689723E1,2.906281673E1,-8.128564827E1,8.427858334E0,2.787999916E1,4.840000153E1,3.790092468E0,2.500000000E0
3.675680290E1,2.906299253E1,-8.128543047E1,8.708393960E0,2.888999939E1,4.920000076E1,3.790092468E0,2.500000000E0
3.775695066E1,2.906317812E1,-8.128521078E1,1.043217113E1,2.965999985E1,5.050000000E1,3.790092468E0,2.500000000E0
3.875603624E1,2.906335907E1,-8.128498683E1,1.148831671E1,2.973999977E1,5.020000076E1,3.790092468E0,2.500000000E0
3.975628024E1,2.906355688E1,-8.128476460E1,1.374652311E1,3.072999954E1,4.950000000E1,3.790092468E0,2.500000000E0
4.075649290E1,2.906375287E1,-8.128453327E1,1.606436646E1,3.103000069E1,5.000000000E1,3.790092468E0,2.500000000E0
4.175673899E1,2.906394778E1,-8.128429378E1,1.811311100E1,3.148999977E1,5.000000000E1,3.790092468E0,2.500000000E0
4.275692024E1,2.906413839E1,-8.128404625E1,2.032338922E1,3.193000031E1,4.909999847E1,3.790092468E0,2.500000000E0
4.375625754E1,2.906433252E1,-8.128379624E1,2.315412304E1,3.236000061E1,4.809999847E1,3.790092468E0,2.500000000E0
4.475652852E1,2.906452628E1,-8.128354143E1,2.546734291E1,3.284999847E1,4.709999847E1,3.790092468E0,2.500000000E0
4.575678160E1,2.906472143E1,-8.128329194E1,2.738779834E1,3.308000183E1,4.670000076E1,3.790092468E0,2.500000000E0
